,Library Name,Branch Name,Address,City,Zip,Type,geo_address,location,latitude,longitude
0,CHARLESTOWN CLARK COUNTY PUBLIC LIBRARY,SELLERSBURG BRANCH LIBRARY,430 N INDIANA AVE,SELLERSBURG,47172,Public Branch,"430 N INDIANA AVE, SELLERSBURG, IN 47172 United States","430, North Indiana Avenue, Sellersburg, Clark County, Indiana, 47172, USA",38.4028633375,-85.7540152375
1,CHARLESTOWN CLARK COUNTY PUBLIC LIBRARY,NEW WASHINGTON BRANCH LIBRARY,210 S POPLAR ST,NEW WASHINGTON,47162,Public Branch,"210 S POPLAR ST, NEW WASHINGTON, IN 47162 United States","210, South Poplar Street, New Washington, Clark County, Indiana, 47162, USA",38.5611634855316,-85.5394102976466
2,CHARLESTOWN CLARK COUNTY PUBLIC LIBRARY,HENRYVILLE BRANCH LIBRARY,214 E MAIN ST,HENRYVILLE,47126,Public Branch,"214 E MAIN ST, HENRYVILLE, IN 47126 United States","214, East Main Street, Henryville, Clark County, Indiana, 47126, USA",38.5403043,-85.76654744
3,CHARLESTOWN CLARK COUNTY PUBLIC LIBRARY,BORDEN BRANCH LIBRARY,117 W MAIN ST,BORDEN,47106,Public Branch,"117 W MAIN ST, BORDEN, IN 47106 United States","117, West Main Street, Borden, Clark County, Indiana, 47106, USA",38.4683203279677,-85.9484004950521
4,JEFFERSONVILLE TWP PUBLIC LIBRARY,CLARKSVILLE BRANCH LIBRARY,1312 EASTERN BLVD,CLARKSVILLE,47129,Public Branch,"1312 EASTERN BLVD, CLARKSVILLE, IN 47129 United States","1312, Eastern Boulevard, Clarksville, Clark County, Indiana, 47129, USA",38.3065391428571,-85.7676510408163
5,INDIANA UNIVERSITY-SOUTHEAST, ,4201 GRANT LINE RD,NEW ALBANY,47150,Academic,"4201 GRANT LINE RD, NEW ALBANY, IN 47150 United States","4201, Grant Line Road, New Albany, Floyd County, Indiana, 47150, USA",38.3455302330176,-85.8164537470731
6,IVY TECH STATE COLLEGE-SOUTH CENTRAL, ,8204 HWY 311,SELLERSBURG,47172,Academic,"8204 HWY 311, SELLERSBURG, IN 47172 United States",,38.389606, -85.762887
7,MID-AMERICA COLLEGE OF FUNERAL SERVICE, ,3111 HAMBURG PKE,JEFFERSONVILLE,47130,Academic,"3111 HAMBURG PKE, JEFFERSONVILLE, IN 47130 United States",,38.312279, -85.744653
8,CHARLESTOWN CLARK COUNTY PUBLIC LIBRARY, ,51 CLARK ROAD,CHARLESTOWN,47111,Public,"51 CLARK ROAD, CHARLESTOWN, IN 47111 United States","51, Clark Road, Charlestown, Clark County, Indiana, 47111, USA",38.4485258125,-85.6682044583333
9,JEFFERSONVILLE TOWNSHIP PUBLIC LIBRARY, ,P O BOX 1548,JEFFERSONVILLE,47130,Public,"P O BOX 1548, JEFFERSONVILLE, IN 47130 United States",,38.275819,-85.740522
10,NEW ALBANY-FLOYD COUNTY PUBLIC LIBRARY, ,180 WEST SPRING STREET,NEW ALBANY,47150,Public,"180 WEST SPRING STREET, NEW ALBANY, IN 47150 United States","New Albany-Floyd County Public Library, 180, West Spring Street, New Albany, Floyd County, Indiana, 47150, USA",38.2856019,-85.8261825606152
